#t,x,y,z
1183270333,1.3125,0.375,-0.1875
1183270334,1.3125,0.375,-0.1875
1183270334,1.3125,0.375,-0.1875
1183270334,1.3125,0.375,-0.1875
1183270334,1.3125,0.375,-0.1875
1183270334,1.3125,0.375,-0.1875
1183270334,1.3125,0.375,-0.1875
1183270334,1.3125,0.375,-0.1875
1183270334,1.3125,0.375,-0.1875
1183270334,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270335,1.3125,0.375,-0.1875
1183270336,1.3125,0.375,-0.1875
1183270336,1.3125,0.375,-0.1875
1183270336,1.3125,0.375,-0.1875
1183270375,1.5,0.5,-1.4375
1183270375,1.5,0.5,-1.4375
1183270375,1.5,0.5,-1.4375
1183270411,1.5,0.5,-1.3125
1183270411,1.5,0.5,-1.3125
1183270429,0.8125,0.5,-1.0
1183270455,0.75,0.6875,-0.125
1183270455,1.125,0.625,-0.1875
1183270485,1.125,0.5,-0.8125
1183270515,1.4375,0.125,-0.875
1183270515,1.25,0.1875,-1.1875
1183270545,1.5,0.25,-1.0625
1183270576,1.8125,-0.0625,-1.1875
1183270577,2.0625,0.0,-1.0625
1183270612,1.8125,0.3125,-1.1875
1183270669,1.75,0.4375,-1.5625
1183270669,1.5625,0.4375,-1.8125
1183270669,0.625,0.5,-1.5
1183270697,0.75,0.5625,-0.875
1183270697,0.625,0.6875,-0.875
1183270727,1.0,0.8125,-0.6875
1183270759,0.625,0.3125,-0.6875
1183270759,0.3125,0.375,-0.8125
1183270787,0.5,0.8125,-0.625
1183270820,1.375,0.5,-0.4375
1183270820,1.375,0.5,-0.4375
1183270847,1.0,0.6875,-0.0625
1183270878,0.3125,0.375,0.375
1183270880,1.125,0.0,0.6875
1183270907,0.625,0.0,0.875
1183270935,0.4375,0.125,0.625
1183270938,0.75,-0.4375,0.75
1183270965,1.0625,-0.8125,1.0625
1183270996,1.4375,-0.8125,1.4375
1183270998,1.3125,-0.6875,1.375
1183271027,1.4375,-0.3125,1.25
1183271057,1.125,0.1875,0.9375
1183271057,0.625,0.125,0.9375
1183271115,0.125,0.0,0.4375
1183271115,0.125,0.0,0.4375
1183271116,0.75,-0.0625,0.3125
1183271146,0.5625,-0.1875,-0.4375
1183271178,-0.8125,-0.5,-0.6875
1183271178,-0.3125,-0.375,-0.625
1183271206,0.75,-0.875,-0.875
1183271237,0.875,-1.1875,-1.1875
1183271239,-0.25,-1.0,-1.25
1183271267,-0.8125,-0.5625,-0.75
1183271297,-0.5,-0.0625,-0.75
1183271298,-0.375,0.0625,-0.5
1183271327,0.125,0.125,-0.75
1183271357,0.0,0.3125,-1.125
1183271357,-0.625,0.875,-0.75
1183271387,-0.875,0.875,-0.5625
1183271417,-0.375,0.5,-0.4375
1183271421,-0.625,0.6875,-0.5625
1183271449,-0.75,0.5625,-0.5625
1183271476,-1.0625,0.375,-0.4375
1183271476,-1.25,0.25,-0.875
1183271508,-2.0625,0.0,-1.1875
1183271538,-0.875,-0.125,-1.4375
1183271538,-0.5625,-0.6875,-1.8125
1183271567,-0.5,-0.75,-1.6875
1183271596,-1.1875,-0.6875,-1.4375
1183271596,-0.9375,-0.75,-0.875
1183271626,-0.125,-1.125,-0.4375
1183271657,0.0625,-1.5625,0.0625
1183271657,0.375,-1.625,0.1875
1183271686,0.875,-1.3125,0.375
1183271717,0.25,-0.6875,0.25
1183271717,-0.5,-0.0625,0.25
1183271747,-0.25,0.25,0.625
1183271810,-0.625,0.25,0.875
1183271810,-0.4375,0.4375,0.9375
1183271810,-0.5,0.875,1.125
1183271837,-0.6875,1.3125,0.875
1183271837,-0.75,1.6875,1.375
1183271867,-0.1875,1.375,1.375
1183271895,0.25,0.6875,2.4375
1183271896,0.25,0.6875,2.4375
1183271925,0.875,1.1875,1.8125
1183271957,-0.125,1.6875,1.6875
1183271957,0.25,1.5625,1.1875
1183271991,0.1875,1.875,1.25
1183272017,-0.6875,2.125,1.8125
1183272018,-0.4375,2.5625,1.25
1183272046,-1.5,2.875,0.875
1183272077,-1.1875,2.8125,0.375
1183272077,-0.8125,2.5625,-0.0625
1183272108,-0.6875,1.875,-0.375
1183272137,-0.25,1.0625,-0.3125
1183272138,-0.875,0.6875,-0.625
1183272165,-0.5,0.1875,-0.625
